sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,cost,countries,country_of_manufacture,creareseo_discontinued,creareseo_discontinued_product,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,delivery_time,description,designer,director,edition,featured,filmtitle,gallery,gift_message_available,has_options,image,image_label,known,media_gallery,meta_autogenerate,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,poster_condition,price,print_tech,required_options,short_description,size,small_image,small_image_label,special_from_date,special_price,special_to_date,starring,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
,posters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leonard-konopelski/moscow-fly-to-moscow,leonard-konopelski/moscow-fly-to-moscow.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PosterLK00107,,Default,simple,THEATER,Default Category,base,,,,,,2012-07-14 00:00:00,,,,,1975,Polish Poster,Konopelski,,original,,,,,0,/k/o/konopelski-posterlk00107.jpg,,,,,,,,,,,,"Iwona, księżniczka Burgunda Witold Gombrowicz",,,,,mint,80.0000,offset,0,"Iwona, księżniczka Burgunda Witold Gombrowicz",ca. B1 = 68x97cm = 27x38 in,/k/o/konopelski-posterlk00107.jpg,,,,,,1,2,/k/o/konopelski-posterlk00107.jpg,,2014-11-06 18:58:50,leonard-konopelski/iwona-ksiezniczka-burgunda-witold-gombrowicz,leonard-konopelski/ivona-princess-burgundia-witold-gombrowicz.html,4,10.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,0,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/k/o/konopelski-posterlk00107.jpg,,0,1,,,,,,,,,,,,,,,,
,posters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivona Princess of Burgundia Witold Gombrowicz,,,,,,,,,,,,,,,,,,,,,,leonard-konopelski/ivona-princess-burgundia-witold-gombrowicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yvonne die Burgunderprinzessin Witold Gombrowicz,,,,,,,,,,,,,,,,,,,,,,leonard-konopelski/yvonne-burgunderprinzessin-witold-gombrowicz,leonard-konopelski/yvonne-burgunderprinzessin-witold-gombrowicz.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,plakat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leonard-konopelski/iwona-ksiezniczka-burgunda-witold-gombrowicz.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PosterLK00108,,Default,simple,THEATER,Default Category,base,,,,,,2012-07-14 00:00:00,,,,,1972 / R 2008,Polish Poster,Konopelski,,reprint,,,,,0,/k/o/konopelski-posterlk00108.jpg,,,,,,,,,,,,Yerma Federico García Lorca,,,,,mint,130.0000,digital reprint,0,Yerma Federico García Lorca,ca. 70x100 cm,/k/o/konopelski-posterlk00108.jpg,,,,,,1,2,/k/o/konopelski-posterlk00108.jpg,,2014-11-06 18:58:50,leonard-konopelski/yerma,leonard-konopelski/yerma.html,4,10.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,0,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/k/o/konopelski-posterlk00108.jpg,,0,1,,,,,,,,,,,,,,,,
,posters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leonard-konopelski/yerma-garcia-lorca,leonard-konopelski/yerma-garcia-lorca.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leonard-konopelski/yerma-federico-garcia-lorca,leonard-konopelski/yerma-federico-garcia-lorca.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PosterLK00109,,Default,simple,MUSIC POSTER,Default Category,base,,,,,,2012-07-14 00:00:00,,,,,1981 / R 2008,Polish Poster,Konopelski,,reprint,Nein,,,,0,/k/o/konopelski-posterlk00109.jpg,,,,Nein,,,,,,Im Einkaufswagen,Nein,David Sanborn Touchtone,,,Produktinformationsspalte,,mint,130.0000,digital reprint,0,David Sanborn Touchtone,"ca. 91,5 x 46,5 cm",/k/o/konopelski-posterlk00109.jpg,,,,,,1,2,/k/o/konopelski-posterlk00109.jpg,,2019-01-30 13:51:06,leonard-konopelski/david-sanborn-touchtone,leonard-konopelski/david-sanborn-touchtone.html,3,10.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,1,0,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/k/o/konopelski-posterlk00109.jpg,,0,1,,,,,,,,,,,,,,,,
,posters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leonard Konopelski David Sanborn Touchtone buy online vintage original poster art from Poland Leonard Konopelski Polish music posters Polish Music Poster David Sanborn Touchtone,"Leonard Konopelski, buy online vintage original poster art from Poland, Polish music posters Polish Music Poster David Sanborn Touchtone",Leonard Konopelski David Sanborn Touchtone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leonard Konopelski David Sanborn Touchtone PIGASUS Polnische Plakatkunst Leonard Konopelski Plakat Shop Berlin plakatkunst kaufen Pigasus plakatkunst in Polen Plakatkünstler Leonard Konopelski Original Theaterplakate David Sanborn Touchtone Polnisches Mus,Leonard Konopelski Musik Poster Polen Plakatkünstler Original David Sanborn Touchtone Polnisches Musikplakat David Sanborn Touchtone,Leonard Konopelski David Sanborn Touchtone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,plakat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leonard Konopelski David Sanborn Touchtone PIGASUS polski plakat sklep Berlin Leonard Konopelski kup oryginalne polskie plakaty Pigasus Polska Szkoła Plakatu sklep internetowy David Sanborn Touchtone plakat muzyczny David Sanborn Touchtone,Leonard Konopelski David Sanborn Touchtone PIGASUS polski plakat kup oryginalne Polskie Plakaty Polska Szkoła Plakatu sklep internetowy,Leonard Konopelski David Sanborn Touchtone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PosterLK00111,,Default,simple,MUSIC POSTER,Default Category,base,,,,,,2012-07-14 00:00:00,,,,,1981 / R 2008,Polish Poster,Konopelski,,reprint,,,,,0,/k/o/konopelski-posterlk00111.jpg,,,,,,,,,,,,David Sanborn Voyeur,,,,,mint,130.0000,digital reprint,0,David Sanborn Voyeur,ca. 67x102 cm,/k/o/konopelski-posterlk00111.jpg,,,,,,1,2,/k/o/konopelski-posterlk00111.jpg,,2014-11-06 18:58:50,leonard-konopelski/david-sanborn-voyeur,leonard-konopelski/david-sanborn-voyeur.html,4,10.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,0,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/k/o/konopelski-posterlk00111.jpg,,0,1,,,,,,,,,,,,,,,,
PosterLK00112,,Default,simple,MUSIC POSTER,Default Category,base,,,,,,2012-07-14 00:00:00,,,,,1988 / R 2008,Polish Poster,Konopelski,,reprint,,,,,0,/k/o/konopelski-posterlk00112.jpg,,,,,,,,,,,,Willie Nelson,,,,,mint,130.0000,digital reprint,0,Willie Nelson,"ca. 68,5x91,5 cm",/k/o/konopelski-posterlk00112.jpg,,,,,,1,2,/k/o/konopelski-posterlk00112.jpg,,2014-11-06 18:58:50,leonard-konopelski/willie-nelson,leonard-konopelski/willie-nelson.html,4,10.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,0,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/k/o/konopelski-posterlk00112.jpg,,0,1,,,,,,,,,,,,,,,,
PosterLK00113,,Default,simple,MUSIC POSTER,Default Category,base,,,,,,2012-07-14 00:00:00,,,,,1992 / R 2008,Polish Poster,Konopelski,,reprint,Nein,,,,0,/k/o/konopelski-posterlk00113.jpg,Malibu Playboy Jazz Festival,,,Nein,,,,,,Im Einkaufswagen,Nein,Malibu Playboy Jazz Festival,,,Produktinformationsspalte,,mint,130.0000,digital reprint,0,Malibu Playboy Jazz Festival,"ca. 71x91,5 cm",/k/o/konopelski-posterlk00113.jpg,Malibu Playboy Jazz Festival,,,,,1,2,/k/o/konopelski-posterlk00113.jpg,Malibu Playboy Jazz Festival,2021-10-30 14:42:31,leonard-konopelski/malibu-playboy-jazz-festival,leonard-konopelski/malibu-playboy-jazz-festival.html,3,10.0000,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,1,0,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/k/o/konopelski-posterlk00113.jpg,Malibu Playboy Jazz Festival,0,1,,,,,,,,,,,,,,,,
,,,,OTHER POSTER,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,posters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leonard Konopelski Malibu Playboy Jazz Festival buy online vintage original poster art from Poland Leonard Konopelski Polish Theatre Vintage Art Posters l Polish Jazz Poster Malibu Playboy Jazz Festival,"Leonard Konopelski, buy online vintage original poster art from Poland, Polish Theatre Vintage Art Posters l Polish Jazz Poster Malibu Playboy Jazz Festival",Leonard Konopelski Malibu Playboy Jazz Festival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leonard Konopelski Malibu Playboy Jazz Festival PIGASUS Polnische Plakatkunst Leonard Konopelski Plakat Shop Berlin plakatkunst kaufen Pigasus plakatkunst in Polen Plakatkünstler Leonard Konopelski Original Theaterplakate Malibu Playboy Jazz Festival Poln,Leonard Konopelski theaterplakate berlin Polen Plakatkünstler Original Malibu Playboy Jazz Festival Polnisches Jazzplakat Malibu Playboy Jazz Festival,Leonard Konopelski Malibu Playboy Jazz Festival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,plakat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leonard Konopelski Malibu Playboy Jazz Festiva PIGASUS polski plakat sklep Leonard Konopelski kup oryginalne Polskie Plakaty Polska Szkoła Plakatu sklep internetowy Malibu Playboy Jazz Festival plakat jazzowy Malibu Playboy Jazz Festival,Leonard Konopelski Malibu Playboy Jazz Festival PIGASUS polski plakat kup oryginalne Polskie Plakaty Polska Szkoła Plakatu sklep internetowy,Leonard Konopelski Malibu Playboy Jazz Festival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poster04966,,Default,simple,THEATER,Default Category,base,,,,,,2012-07-14 00:00:00,,,,,1972,Polish Poster,Konopelski,,original,Nein,,,,0,/k/o/konopelski-posterlk00114.jpg,,,,Nein,,,,,,Im Einkaufswagen,Nein,Matka Maxim Gorki,,,Produktinformationsspalte,,good,300.0000,offset,0,Matka Maxim Gorki,ca. A1 = 58x82 cm / 23x33 in,/k/o/konopelski-posterlk00114.jpg,,,,,,1,2,/k/o/konopelski-posterlk00114.jpg,,2017-03-21 15:58:07,leonard-konopelski/matka-maxim-gorki,leonard-konopelski/matka-maxim-gorki.html,4,10.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,0,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/k/o/konopelski-posterlk00114.jpg,,0,1,,,,,,,,,,,,,,,,
,posters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leonard Konopelski Mother buy online vintage original poster art from Poland Leonard Konopelski Polish Theatre Vintage Art Posters Polish theater Poster Original Year: Theater Mother by Maxim Gorki in Teatr im. J. Osterwy in Lublin, Poland","Leonard Konopelski, buy online vintage original poster art from Poland, Polish Theatre Vintage Art Posters Polish theater Poster Original Year: Theater Mother by Maxim Gorki in Teatr im. J. Osterwy in Lublin, Poland",Leonard Konopelski Mother Maxim Gorki,,,,,Mother Maxim Gorki,,,,,,,,,,,,,,,,,,,,,,leonard-konopelski/mother-maxim-gorki,leonard-konopelski/mother-maxim-gorki.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leonard Konopelski Mutter PIGASUS Polnische Plakatkunst Leonard Konopelski Plakat Shop Berlin plakatkunst kaufen Pigasus plakatkunst in Polen Plakatkünstler Leonard Konopelski Original Theaterplakate Matka Polnisches Theaterposter Original Theateraufführu,"Leonard Konopelski theaterplakate berlin Polen Plakatkünstler Original Matka Polnisches Theaterposter Original Theateraufführung Die Mutter in Teatr im. J. Osterwy in Lublin, Polen",Leonard Konopelski Mutter,,,,,Mutter Maxim Gorki,,,,,,,,,,,,,,,,,,,,,,leonard-konopelski/mutter-maxim-gorki,leonard-konopelski/mutter-maxim-gorki.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,plakat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leonard Konopelski Matka PIGASUS polski plakat sklep Leonard Konopelski kup oryginalne Polskie Plakaty Polska Szkoła Plakatu sklep internetowy Matka plakat teatralny pierwodruk Przedstawienie teatralne Matka Maxima Gorkiego Teatrze im. J. Osterwy w Lublin,Leonard Konopelski Matka PIGASUS polski plakat kup oryginalne Polskie Plakaty Polska Szkoła Plakatu sklep internetowy,Leonard Konopelski Matka Maxim Gorki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PosterLK00115,,Default,simple,THEATER,Default Category,base,,,,,,2012-07-14 00:00:00,,,,,1972 / R 2008,Polish Poster,Konopelski,,reprint,,,,,0,/k/o/konopelski-posterlk00115.jpg,,,,,,,,,,,,Matka Maxim Gorki,,,,,mint,130.0000,digital reprint,0,Matka Maxim Gorki,ca. 70x100 cm,/k/o/konopelski-posterlk00115.jpg,,,,,,1,2,/k/o/konopelski-posterlk00115.jpg,,2014-11-06 18:58:50,leonard-konopelski/matka-gorki,leonard-konopelski/matka-gorki.html,4,10.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,0,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/k/o/konopelski-posterlk00115.jpg,,0,1,,,,,,,,,,,,,,,,
,posters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mother Maxim Gorki,,,,,,,,,,,,,,,,,,,,,,leonard-konopelski/mother-gorki,leonard-konopelski/mother-gorki.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mutter Maxim Gorki,,,,,,,,,,,,,,,,,,,,,,leonard-konopelski/mutter-gorki,leonard-konopelski/mutter-gorki.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PosterLK00116,,Default,simple,THEATER,Default Category,base,,,,,,2012-07-14 00:00:00,,,,,1969 / R 2008,Polish Poster,Konopelski,,reprint,,,,,0,/k/o/konopelski-posterlk00116.jpg,,,,,,,,,,,,Rewizor,,,,,mint,130.0000,digital reprint,0,Rewizor,ca. 70x100 cm,/k/o/konopelski-posterlk00116.jpg,,,,,,1,2,/k/o/konopelski-posterlk00116.jpg,,2014-11-06 18:58:50,leonard-konopelski/rewizor,leonard-konopelski/rewizor.html,4,10.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,0,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/k/o/konopelski-posterlk00116.jpg,,0,1,,,,,,,,,,,,,,,,
,posters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revizor,,,,,,,,,,,,,,,,,,,,,,leonard-konopelski/revizor,leonard-konopelski/revizor.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Revisor,,,,,,,,,,,,,,,,,,,,,,leonard-konopelski/revisor,leonard-konopelski/revisor.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PosterLK00118,,Default,simple,EXHIBITION,Default Category,base,,,,,,2012-07-14 00:00:00,,,,,1999 / R 2008,Polish Poster,Konopelski,,reprint,,,,,0,/k/o/konopelski-posterlk00118.jpg,,,,,,,,,,,,Little Format Exhibition,,,,,mint,130.0000,digital reprint,0,Little Format Exhibition,ca. 61x91 cm,/k/o/konopelski-posterlk00118.jpg,,,,,,1,2,/k/o/konopelski-posterlk00118.jpg,,2014-11-06 18:58:50,leonard-konopelski/little-format-exhibition,leonard-konopelski/little-format-exhibition.html,4,10.0000,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,1,0,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/k/o/konopelski-posterlk00118.jpg,,0,1,,,,,,,,,,,,,,,,
